Agency,Use Case ID,Use Case Name,Bureau/Component,Stage of Development (Raw),Stage of Development,Is the AI use case high-impact? (Raw),Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency's mission and/or the general public?,Describe the AI system's outputs.,Date when AI use case became operational or the pilot's start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case's associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case?,Has an AI impact assessment been completed for this AI use case?,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on the its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system's outcome?,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
Commodity Futures Trading Commission,CFTC-001,Anomaly Detection for Data Quality,DOD,Operation and Maintenance,Deployed,,,,,,,Anomaly detection model designed to identify potentially erroneous data loads in TCR data. Uses an isolation forest model with aggregated data and automatically runs daily.,,,,,,,,,,,,,,,,,,,,,,
Commodity Futures Trading Commission,CFTC-003,Stress Testing Scenarios with Deep Learning,DCR,Acquisition and/or Development,Pre-deployment,,,,,,,Pilot project to explore neural-network based machine learning methods for creating stress testing scenarios and estimating PnL (profit and loss) on FO (Futures and Options) portfolios based on the current/recent market states/conditions.,,,,,,,,,,,,,,,,,,,,,,
Commodity Futures Trading Commission,CFTC-004,MPD Entity Risk Modeling,MPD,Initiated,Pre-deployment,,,,,,,Entity-level risk modeling project. Use statistical and probabalistic models to predict firms experiencing changes in capital levels. Very early stage R&D effort.,,,,,,,,,,,,,,,,,,,,,,
Department Of Agriculture,USDA-001,Repair Spend,Administrative and Financial Management,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,"The intended purpose of this model is to review financial documents and then classify each expense as money spent on ""facility repairs"" or ""not facility repairs"". The expected benefits include reduction of manual hours identifying the types of transactions.","The output of the model is a recommendation of which financial transactions should be identified as ""repair"" expenses.",10/1/2019,Developed with both contracting and in-house resources,,,"The output of the model is a recommendation of which financial transactions should be identified as ""repair"" expenses.",,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-002,ARS Project Mapping,Office of National Programs,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Science & Space,,,"The intended purpose of this model is to process research plans from various research program portfolios in the Agricultural Research Service (ARS) to find patterns and opportunities between projects. The expected benefits include decreasing the time that humans would spend to manually read, pull out key terms, and group the projects by topic. The model may also find patterns that a human might miss.","The model outputs groups of similar projects and project terms. The output includes metrics (silhouette scores, term rank, importance scores) that show how well the projects and terms in a group match.",1/1/2020,Developed with contracting resources,,,"The model outputs groups of similar projects and project terms. The output includes metrics (silhouette scores, term rank, importance scores) that show how well the projects and terms in a group match.",,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-003,NAL Automated Indexing,National Agricultural Library,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Science & Space,,,This system automatically assigns word tags to agricultural research articles from a controlled list of terms provided by the National Agricultural Library Thesaurus (NALT). The tags can be used to look up and retrieve articles. Using these tags benefits users by making it easier to find the content they are looking for.,The model outputs terms to use as search tags that are specific to the article that the model analyzed.,6/1/2011,Developed with both contracting and in-house resources,,,The model outputs terms to use as search tags that are specific to the article that the model analyzed.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-004,Predictive Modeling of Invasive Pest Species,Plant Protection and Quarantine,"Stage 4 - Operation and Maintenance (Use case is integrated into agency operations, and is being monitored for performance)",Deployed,No,Not high-impact,,Mission-Enabling (Internal Agency Support),,,"The purpose of the model is to check how likely it is for imported agricultural products from other countries to have pests. Benefits include more reliable discovery and quarantine of invasive pests, preventing pest invasion and making trade safer.",The model outputs are a prediction of whether a product carries an invasive species and what invasive species category the pest belongs to.,7/1/2015,Developed in-house,,,The model outputs are a prediction of whether a product carries an invasive species and what invasive species category the pest belongs to.,,,,,None;,,,,,,,,,,,
Department Of Agriculture,USDA-005,Detection of Pre-symptomatic HLB Infected Citrus,Plant Protection and Quarantine,Stage 5 - Retired (Use case has been retired or is in the process of being retired),Retired,,,,Science & Space,,,The purpose of the model is to detect citrus trees infected with Huanglongbing (HLB) disease using images collected by a camera sensor on a small drone. This system would decrease time and cost associated with manual searching for HLB infected trees.,The model outputs GPS Coordinates of potential Huanglongbing (HLB) infected areas.,,,,,The model outputs GPS Coordinates of potential Huanglongbing (HLB) infected areas.,,,,,,,,,,,,,,,,
Department Of Agriculture,USDA-006,High Throughput Phenotyping in Citrus Orchards,Plant Protection and Quarantine,Stage 5 - Retired (Use case has been retired or is in the process of being retired),Retired,,,,Science & Space,,,"The main purpose of this system is to analyze drone images to locate, count, and categorize citrus trees in an orchard to monitor orchard health. This use case saves thousands of man-hours searching for signs of plant damage and disease in orchards.",The model output flags images containing plant damage or disease.,,,,,The model output flags images containing plant damage or disease.,,,,,,,,,,,,,,,,
Department Of Agriculture,USDA-007,Detection of Aquatic Weeds,Plant Protection and Quarantine,Stage 5 - Retired (Use case has been retired or is in the process of being retired),Retired,,,,Science & Space,,,The purpose of this system is to locate and identify aquatic weed species using images from drones. Expected benefits include decreasing time that would have been spent manually reviewing the images.,The model outputs the aquatic weed species contained in the image.,,,,,The model outputs the aquatic weed species contained in the image.,,,,,,,,,,,,,,,,
