Year,Agency,Use Case Name,Retired
2024,Department of Homeland Security,Non-Intrusive Inspection (NII) 3D Imaging Tool,False
2024,Department of Homeland Security,Babel,False
2024,Department of Homeland Security,Fivecast ONYX,False
2024,Department of Homeland Security,Public Information Compilation for Travel  Threat Analysis (Dataminr),False
2024,Department of Homeland Security,Anomaly Detection in Non-Intrusive Inspection,False
2024,Department of Homeland Security,Advanced Analytics for X-ray Images (AAXI),False
2024,Department of Homeland Security,Automated Data Annotation,False
2024,Department of Homeland Security,AI Enabled Autonomous Underwater Vehicle,False
2024,Department of Homeland Security,Relocatable Multi-Sensor System,False
2024,Department of Homeland Security,AI/LLM to generate testable synthetic data,False
2024,Department of Homeland Security,Anomaly Detection COV Structure,False
2024,Department of Homeland Security,Anomaly Detection Homogenous Cargo,False
2024,Department of Homeland Security,Anomaly Detection POV Structure,False
2024,Department of Homeland Security,CBP Careers Bot - Leo,False
2024,Department of Homeland Security,Computer Vision for Aerial Detection of Land and Open Water Items of Interest,False
2024,Department of Homeland Security,AI for Software Delivery,False
2024,Department of Homeland Security,Optical Counter - UAS Detection,False
2024,Department of Homeland Security,Thermal Power Generation with Geoseismic IoI Detection and Classification,False
2024,Department of Homeland Security,Underwater ROV,False
2024,Department of Homeland Security,Wellness and Physical Fitness Application ,False
2024,Department of Homeland Security,API Security Vulnerability Technology,False
2024,Department of Homeland Security,Cyber Threat Detection,False
2024,Department of Homeland Security,Multi-media Insight Tool,False
2024,Department of Homeland Security,Position Description Generation and Evaluation,False
2024,Department of Homeland Security,Source Code Development Tool,False
2024,Department of Homeland Security,AI Curated Synthetic Data,True
2024,Department of Homeland Security,Integrated Defense and Security Solutions (IDSS),False
2024,Department of Homeland Security,Advance RPM Maintenance Operating Reporter (ARMOR),False
2024,Department of Homeland Security,RAPTOR (Rapid Tactical Operations Reconnaissance),False
2024,Department of Homeland Security,Vessel Detection,False
2024,Department of Homeland Security,AI for Autonomous Situational Awareness,False
2024,Department of Homeland Security,RVSS Legacy Overhauled System Project,True
2024,Department of Homeland Security,Agent Portable Surveillance,True
2024,Department of Homeland Security,Open-Source News Aggregation,True
2024,Department of Homeland Security,Autonomous Aerostat,True
2024,Department of Homeland Security,Geospatial Imagery Utilizing Annotation,True
2024,Department of Homeland Security,Use of technology to identify proof of life,True
2024,Department of Homeland Security,Integrated Digital Environment,True
2024,Department of Homeland Security,Data and Entity Resolution,True
2024,Department of Homeland Security,Port of Entry Risk Assessments,True
2024,Department of Homeland Security,Traveler Verification Service (TVS),True
2024,Department of Homeland Security,I4 Viewer Matroid Image Analysis,True
2024,Department of Homeland Security,Autonomous Maritime Awareness,True
2024,Department of Homeland Security,Advanced Trade Analytics Platform (ATAP),False
2024,Department of Homeland Security,CBP Employee Experience,False
2024,Department of Homeland Security,Passive Body Scanner,False
2024,Department of Homeland Security,Unmanned Aircraft Collision Avoidance (Skydio),False
2024,Department of Homeland Security,CBP Translate,False
2024,Department of Homeland Security,Entity Resolution,False
2024,Department of Homeland Security,Supervised Traveler Identity Verification Services (Officer Initiated),False
2024,Department of Homeland Security,Semi-Supervised Traveler Identity Verification Services (Traveler Initiated),False
2024,Department of Homeland Security,3rd Party Traveler Identity Verification Services,False
2024,Department of Homeland Security,Mobile Traveler Identity Verification,False
2024,Department of Homeland Security,Traveler Identity Verification Services (Vetting),False
2024,Department of Homeland Security,Customs Broker License Exam - Proctor Support,False
2024,Department of Homeland Security,ERNIE,False
2024,Department of Homeland Security,Autonomous Surveillance Tower (AST),False
2024,Department of Homeland Security,Automated Item of Interest Detection,False
2024,Department of Homeland Security,CBP One,False
2024,Department of Homeland Security,Unified Processing/Mobile Intake,False
2024,Department of Homeland Security,Cyber Threat Analysis (Recorded Future),False
2024,Department of Homeland Security,Vault Access Log (SPVAA),False
2024,Department of Homeland Security,HTS Classifier,False
2024,Department of Homeland Security,CISAChat,False
2024,Department of Homeland Security,Critical Infrastructure Network Anomaly Detection,False
2024,Department of Homeland Security,Malware Reverse Engineering,False
2024,Department of Homeland Security,Draft Tailored Summaries of Media Materials for Different Publication Channels,False
2024,Department of Homeland Security,Security Information and Event Management (SIEM) Alerting Models,True
2024,Department of Homeland Security,Advanced Analytic Enabled Forensic Investigation,True
2024,Department of Homeland Security,Advanced Network Anomaly Alerting,True
2024,Department of Homeland Security,Cyber Threat Intelligence Feed Correlation,True
2024,Department of Homeland Security,Cyber Incident Reporting,True
2024,Department of Homeland Security,Cyber Vulnerability Reporting,True
2024,Department of Homeland Security,AI Security and Robustness,True
2024,Department of Homeland Security,Operational Activities Explorer,True
2024,Department of Homeland Security,Security Operation Center (SOC) Network Anomaly Detection,False
2024,Department of Homeland Security,Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data,False
2024,Department of Homeland Security,Confidence Scoring for Cybersecurity Threat Indicators,False
2024,Department of Homeland Security,Report Analysis and Archive System (RAAS),False
2024,Department of Homeland Security,RelativityOne,False
