Agency,2024,2025
National Aeronautics And Space Administration,18,420
Department Of Health And Human Services,255,398
Department Of Energy,78,325
Department Of Veterans Affairs,226,295
Department Of Justice,231,295
Department Of The Interior,180,234
Department Of Homeland Security,144,205
Department Of The Treasury,54,118
Department Of Agriculture,82,82
Securities And Exchange Commission,28,48
Federal Reserve Board Of Governors,0,38
Department Of State,34,37
Federal Deposit Insurance Corporation,54,36
Department Of Labor,65,28
Pension Benefit Guaranty Corporation,2,17
Federal Housing Finance Agency,18,14
National Archives And Records Administration,9,14
Federal Energy Regulatory Commission,0,6
Office Of Personnel Management,2,5
Election Assistance Commission,2,4
Equal Employment Opportunity Commission,8,4
National Credit Union Administration,16,3
Commodity Futures Trading Commission,3,3
