"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be  publicly disclosed as an  open government data asset,  provide a link to the entry on the Federal Data Catalog.",Does this AI use case  involve personally  identifiable information (PII)  that is maintained by the  agency?,"If publicly available, provide  the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic  variables does the AI use  case explicitly use as model  features?",Does this project include  custom-developed code?,"If the code is open source, provide the link for the  publicly available source  code.","Has pre-deployment testing been conducted for this AI  use case? 

Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case? 

Practice: Complete AI Impact Assessment","What are the potential  impacts of using the AI for  this particular use case and  how were they identified?    

Subpractice: Complete AI  Impact Assessment","Has as independent review  of the AI use case been  conducted?    

Sub practice Complete AI  Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?

Practice: Conduct Ongoing Monitoring for Performance and Potential Adverse Impacts","Has the agency established sufficient and periodic  training for operators of the  AI to interpret and act on the  its output and managed associated risks?

Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?

Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or  contest the AI system’s  outcome?

Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?

Practice: Consult and Incorporate Feedback from End Users and the Public"
AI Input in Translation,A/PRI,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,N/A,Other,Generative AI,Leveraging machine-based tools to streamline workflows in translation work. Machine output is carefully post-edited by professional human translators to ensure highest quality product.,"Reduced time, reduced cost, and improved accuracy of translated documents.",Translated text in draft form.,01/19/2024 00:00:00,a) Purchased from a vendor,RWS,Yes,Trados,Memory modules,N/A,No,N/A,k) None of the above,No,N/A,,,,,,,,,
FOIA Web ML Document Indexer,A/SKS,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
AI-Augmented Declassification Review,A/SKS,cfa@state.gov,a) No,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,N/A,Administrative Functions,Classical/Predictive Machine Learning,"The amount of documents, particularly cables and emails, that require declassification review increases exponentially in the next few years. Manual review is unsustainable and expensive given the number of cables (in the hundreds of thousands) and emails (increasing from hundreds of thousands to millions).","The expected benefits and positive outcomes from using AI are cost savings by reducing the need of manual reviews, reduce labor in cable review by up to 80%, reduce the time needed for annual review, and create more consistency in the review process.",The AI system's outputs are binary classification predictions for documents on whether a document should be declassified or exempt from declassification and multiclassification for reasons for exemption.,02/02/2023 00:00:00,c) Developed with both contracting and in-house resources,Deloitte ,No,N/A,The data used to train the model are cables from 1995-1999 that have completed manual review with metadata on decisions from manual declassification review. Additional data includes classification/declassification guides and associated glossaries to improve model performance. Performance evaluation is measured by a human Quality Control reviewer. ,N/A,No,N/A,k) None of the above,Yes,N/A,a) Yes,b) In-progress,"The model could incorrectly predict to declassify a document. The model could predict to exempt a document that should have been declassified, reducing public visibility. All exempted documents are reviewed by a human.",d) In-progress,"a) Yes, sufficient monitoring protocols have been established","a) Yes, sufficient and periodic training has been established",a) Yes  ,"
a) Yes, an appropriate appeal process has been established


",a) Direct usability testing  
BudgetChat AI Tool,BP,cfa@state.gov,a) No,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,N/A,Administrative Functions,Generative AI,Inputting large amounts of data from paper forms into a digital system using AI.,"Time and cost savings, improved ability to identify crucial supplemental information available in other budget documents, improved accuracy in identifying key budget information in individual documents. ","BudgetChat responds to prompts regarding the amount of spend and positions in prior years by combing through narratives presented to the Bureau of Budget and Planning (BP) from other Department's bureaus, federal agencies, and Congress. ",09/12/2024 00:00:00,b) Developed in-house,N/A,Yes,DOS-O365; Data.State-SBU,N/A,N/A,No,N/A,k) None of the above,Yes,N/A,,,,,,,,,
Evaluating Customer Feedback and Sentiments with AI,CA,cfa@state.gov,a) No,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,N/A,Service Delivery,Generative AI,To leverage Natural Language Processing (NLP) and secure Large Language Models (LLM) on unstructured text data to identify actionable insights to drive customer improvement initiatives. ,Greater insights about user experiences with consular services and the impact of service changes.,"Multiple outputs include categorization, summarization, and analysis of customer feedback. ",07/01/2024 00:00:00,b) Developed in-house,N/A,Yes,PA,"Open-source customer feedback data and other data, including data collected through customer surveys and by in-house researchers.",N/A,No,N/A,k) None of the above,Yes,N/A,,,,,,,,,
Consular Affairs FaceVACS,CA,cfa@state.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,N/A,Service Delivery,Classical/Predictive Machine Learning,"To automatically check passport photo quality during the Online Passport Renewal (OPR) process, providing instant feedback to ensure submitted images meet requirements.",Instant feedback to ensure submitted images meet requirements.,The output is a decision on whether to accept or reject the applicants digitally submitted biometric face image. Applicants are prompted to retake and upload new photos if needed to meet requirements or submit a physical photo through standard processes if an acceptable digital photo cannot be obtained.,,,,,,,,,,,,,,,,,,,,,
Travel.State.Gov (TSG) Enhanced Search and Chatbot,CA,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel.state.gov (TSG) Content Refinement with AI Text Editor,CA,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictive Analytics Platform,CA,cfa@state.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
