"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,,,,,,
"Use Case ID

[Agency Abbrev.] – [#] ",Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be  publicly disclosed as an  open government data asset,  provide a link to the entry on the Federal Data Catalog.",Does this AI use case  involve personally  identifiable information (PII)  that is maintained by the  agency?,"If publicly available, provide  the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic  variables does the AI use  case explicitly use as model  features?",Does this project include  custom-developed code?,"If the code is open source, provide the link for the  publicly available source  code.","Has pre-deployment testing been conducted for this AI  use case? 




Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case? 



Practice: Complete AI Impact Assessment","What are the potential  impacts of using the AI for  this particular use case and  how were they identified?    



Subpractice: Complete AI  Impact Assessment","Has as independent review  of the AI use case been  conducted?    




Sub practice Complete AI  Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?

Practice: Conduct Ongoing Monitoring for Performance and Potential Adverse Impacts","Has the agency established sufficient and periodic  training for operators of the  AI to interpret and act on the  its output and managed associated risks?


Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?





Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or  contest the AI system’s  outcome?


Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?




Practice: Consult and Incorporate Feedback from End Users and the Public",,,,,,,,,,
DOI-0270,Data Extraction Using MS Power Automate AI Functionality [2024 INV#WO0000000110500],ONRR,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0269,Liable Party Research [2024 INV#WO0000000110496],ONRR,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0268,I-NEPA System: Leveraging Artificial Intelligence (AI) for Enhanced Efficiency [2024 INV# WO0000000111250],OS,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0267,Public Comment Analysis Tool (PCAT): Leveraging Artificial Intelligence (AI) for Enhanced Efficiency  [2024 INV#WO0000000106351],OS,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0266,Use of AI to Enhance Flash Flood Forecast Tool [2024 Inv#WO0000000110323],NPS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,There is an opportunity to better predict rainfall on a watershed scale in Great Smoky Mountains National Park and provide forecasts of flooding events with a goal of a 24+ hour lead time. ,"Once we can implement and use the flood forecasting app, we anticipate being able to use it proactively to close at-risk sections of the park during forecast flooding events, saving lives and reducing risks to first responders.",Improved flood forecasts. ,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0265,Bird Nest Detection [2024 Inv#WO0000000110506],NPS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Monitoring of colonial nesting birds with manual photo processing takes substantial time and effort. The goal is to identify bird nests with an object detection model. ,Researchers will be able to monitor bird colonies and their populations more efficiently and consistently. ,Assessments of active nests for bird species. ,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0264,Remote Sensing Coastal Change - Shoreline Change,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Rapid classification of satellite imagery to determine shoreline change,"Quicker, more accurate identification of risks to public safety and infrastructure due to erosion or other shoreline changes.",Predictions of shoreline change,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0260,ROV Smart Touch Subsea Pipeline Inspections,BSEE,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Other,The lack of efficiency and or capability for BSEE and the Oil and Gas industry to inspect bolt failures for underwater pipelines.,Potentially enhance subsea pipeline inspections by integrating advanced robotics and machine learning technologies. ,Bolt and flange tightness level prediction,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0259,Well Risk Assessment [2024 Inv# WO0000000108776],BSEE,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0258,Sustained Casing Pressure Identification [2024 Inv# WO0000000108777],BSEE,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0257,Level 1 Survey Report Corrosion Level Classification,BSEE,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Computer Vision,"Offshore operators conduct Level 1 surveys annually to report on platform structural integrity, as mandated by 30 CFR 250.901(a)(7), and submit these surveys to BSEE. Each survey includes a corrosion assessment of the platform with accompanying photos. Each area is assigned a coating grade and are key indicators of a platforms overall structural health. Currently, BSEE manually reviews each report to determine if a platform requires further audits, a process that is both time and labor intensive. ",Support a more efficient and accurate review of Level 1 Survey photo corrosion levels,The outputs will include a comparison between the original corrosion level assigned to each image in the Level 1 Survey and the corresponding level determined by the machine learning algorithm.,,Developed with both contracting and in-house resources,NASA,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
