Use Case Identifier,Use Case Name,Agency,Bureau,Email Address,Public Reporting Indicator,Development Stage,High Impact Indicator,High Impact Justification,Use Case Topic Area,AI Classification,Problem Description,Benefit Description,Output Description,Operation Date,Contractor Indicator,Vendor Name,ATO Indicator,System Name,Training Data Description,Enterprise Data Inventory URL,PII Indicator,PIA URL,Demographic Variable Description,Custom Code Indicator,Open Source Code URL,Predeployment Testing Indicator,AI Impact Assessment Indicator,Potential Impact Description,Independent Review Indicator,Ongoing Monitoring Indicator,Operator Training Indicator,Fail Safe Indicator,Appeal Process Indicator,End User Feedback Description
DOT-1000001,USDOT Compliance Plan for OMB Memorandum M-24-10 (September 2024),Department of Transportation,"CAIO, NETT",cdaio@dot.gov,No,Deployed,Not high-impact,NA,Administrative Functions,Other,"This Compliance Plan conveys DOT's approach to achieving consistency with OMB Memorandum M-24-10 Advancing Governance, Innovation, and Risk Management for Agency Use of Artificial Intelligence. The plan aligns with M-24-10's three main pillars of Strength",,Provides the Department with a roadmap for accelerating the responsible use of AI and complying with OMB directives.,07/25/2024 12:00:00 AM,No contract/external resources used in development.,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000002,Advanced Research and Testing (ART) Network,Department of Transportation,"CAIO, Volpe, OST-R",cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Agentic AI,"The ART Network is the shared service environment for AI research and development activities that provides researchers with access to a rapid AI innovation, exploration, development, and sharing platform using secure and approved IT infrastructure.",,The ART Network shared service accelerates AI-enabled research at the Department by providing researchers with direct access to an established platform that contains all available AI tools for that environment rather than making changes to an existing env,10/24/2024 12:00:00 AM,No contract/external resources used in development.,,Yes,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000003,AI Operations Laboratory (OPSLAB),Department of Transportation,CAIO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Agentic AI,"Provides operational AI use case developers with access to shared environments with all OCIO-cleared AI functionality for use case experimentation, development, and initial data and model risk management identification and mitigation.",,The OPSLAB shared service accelerates AI-enabled operational use case development at the Department by providing AI developers  with direct access to an established platform that contains all available AI tools for that environment rather than making chan,,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000004,Transportation AI-enabled Network (TrAIN),Department of Transportation,CAIO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Agentic AI,"The TrAIN is the set of shared service environments for operational AI use cases that provides AI developers with a pre-established, secure AI-enabled environments for development, testing and deployment under the Chief AI Officer's compliance and risk ma",,The TrAIN shared service accelerates AI-enabled operational use case deployment at the Department by providing AI developers  with direct access to an established platform that contains all available AI tools for that environment rather than making change,,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000005,AI Support and Collaboration Center (AISCC),Department of Transportation,"OIE, CAIO, OST-R, OCIO",cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Other,"The AISCC provides all DOT employees and contractors with a website for getting educated on AI topics, get inspired by DOT and external use cases and capabilities, collaborate with internal and external AI communities of practice, partner with AI subject",,"Provides the Department's north star for the delivery of AI education, inspiration, and direction to the workforce.",10/09/2024 12:00:00 AM,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000006,Enterprise Personal Productivity Assistant Capability,Department of Transportation,"CAIO, HASS, Volpe",cdaio@dot.gov,No,Deployed,Not high-impact,NA,Administrative Functions,Generative AI,Secure enterprise AI-enabled document generative AI capabilities.,,Research and operating administrations are able to use application program interfaces (APIs) to develop employee productivity enhancing solutions for querying user-provided documents.,,No contract/external resources used in development.,,Yes,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000007,"Enterprise ""Ask Dottie"" ChatBot Capability",Department of Transportation,"CAIO, HASS, Volpe",cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Administrative Functions,Natural Language Processing (NLP),Secure enterprise AI-enabled question and answer ChatBot capabilities for natural language querying of documents and data.,,Provides the Department with secure enterprise-wide LLM ChatBot capabilities that can be tailored to specific use cases.,,,,Not Applicable,,,,,No,None,Not Applicable,,,,,,,,,,
DOT-1000008,Certified Professional Controller (CPC) On-Board Success Evaluator,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Deployed,Not high-impact,NA,Transportation,Classical/Predictive Machine Learning,"CPC Outlook Generator (COG) is a front end Graphical User Interface built to interact with a data model called CPC Onboarding Success Evaluator (COSE), a machine learning model capable of predicting how many Certified Professional Controller (CPCs) the FA",,"Based on what-if scenario, the system provides a graphical representation of a 5 or 10 year CPC staffing outlook (which is the predictive component provided by the ML).  Alongside with the cost (training and salary) the ""when"" the target shifts (is it ear",02/10/2023 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Yes,,"Python-code algorithms are applied to multiple data sources owned by the agency such as Staffing Work Book, Federal Personnel Payroll Sytem, National Training Database, Controller workforce plan, etc. to train, fine-tune,  and evaluate performance of the",,,Yes,None,No,,,,,,,,,,
DOT-1000009,Automated Delay detection using voice processing,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Classical/Predictive Machine Learning,"AI-based voice recognition of Air Traffic Control (ATC) and pilot communications associated with a flight is required for enhanced and accurate delay reporting and attribution.  Many delay events, such as vectoring, are not currently reported/detected/acc",,The output of the AI system is data that captures a delay and the associated cause.  This will be combined with other data sources to provide a more accurate representation of a flight.,02/10/2023 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Yes,,The AI-based voice recognition process is trained using audio recording of ATC to pilot communications.,,,No,None,No,,,,,,,,,,
DOT-1000010,Technical Operations Predictive Maintenance,Department of Transportation,FAA AJO,cdaio@dot.gov,No,Pre-deployment,Not high-impact,NA,Transportation,Classical/Predictive Machine Learning,"""Utilize equipment telemetry data, statistical modeling and Machine Learning to predict equipment failures before they occur.  This will improve operational efficiency and safety by reducing unscheduled outages and/or shortening outage times as replacemen",,"Utilize equipment telemetry data, statistical modeling and Machine Learning to predict equipment failures before they occur.  This will improve operational efficiency and safety by reducing unscheduled outages and/or shortening outage times as replacement",11/21/2024 12:00:00 AM,Developed with a combination of in-house and contract/external resources.,,Not Applicable,,"Utilize equipment telemetry data, statistical modeling and Machine Learning to predict equipment failures before they occur.  This will improve operational efficiency and safety by reducing unscheduled outages and/or shortening outage times as replacement",,,No,None,No,,,,,,,,,,
