"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,
"Use Case ID

[Agency Abbrev.] – [#] ",Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be  publicly disclosed as an  open government data asset,  provide a link to the entry on the Federal Data Catalog.",Does this AI use case  involve personally  identifiable information (PII)  that is maintained by the  agency?,"If publicly available, provide  the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic  variables does the AI use  case explicitly use as model  features?",Does this project include  custom-developed code?,"If the code is open source, provide the link for the  publicly available source  code.",,,,,,,,,,,,,,
FDIC – 3,Plain Language Policy Assistant,Chief Information Officer Organization,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 4,Knowledge Article Generation,Chief Information Officer Organization,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,Increase in self-service available answers and a reduction in issue resolution times through improved quantity and quality of information available to provide answers to previously solved problems.,"Decreased effort to produce and validate knowledge articles, which will result in an increase in self-service available answers and a reduction in issue resolution times through improved quantity and quality of information available to provide answers to previously solved problems.",A document containing steps and conclusions to IT issues published via a web based native format.,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC - 9,Immersive Learning,Corporate University,misimon@FDIC.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,This training tool will allow FDIC users to practice what they have been trained on. This tool provides an interactive learning method for participants to engage in low-stakes practice. Users can apply different outcomes to determine best methods.,"Immersive learning offers an engaging approach to training programs by creating realistic environments using GenAI where learners can practice and refine their skills. A controlled environment wherein learners interact with immersive technology to solve pre-determined complex situations and problems. This approach amplifies employee engagement and retention, performance management, learning and development, administrative tasks, workforce planning, employee onboarding, recruiting, interviewing as well as others. ",Prediction based on sequencing provided by developer and completions reports with objectives met.,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 11,Student Monitoring ,Corporate University,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 12,Plagiarism Detection ,Corporate University,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 13,Student Outcome Projection ,Corporate University,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 14,Facilitating Status ,Corporate University,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDIC – 15,AI Assisted Data Collection,Division of Depositor and Consumer Protection,misimon@FDIC.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Computer Vision,"The current process to extract structured data from bank provided PDF documents of consumer loan applications takes FDIC personnel a significant amount of time to manually transcribe data from PDF loan applications, leading to delays, high error rates, and increased costs. The AI solution is intended to automate data extraction, reducing transcription errors and enabling faster, more accurate collection of loan application data.","The FDIC will more effectively and efficiently utilize its examination resources by reducing manual components of data collection, reducing data transcription error rates and increasing speed of data collection.","The output is a data file of extracted data (csv, text file, json file) from consumer credit reports required to conduct examination analytics for compliance and fair lending reviews.",01/2025,b) Developed in-house,,Yes,Microsoft Power Apps,Consumer loan applications and credit reports from banks for supervised learning and creation of bank specific data collection models,,Yes,https://www.fdic.gov/policies/privacy/documents/pia-fdic-ets.pdf,k) None of the above,Yes,N/A,,,,,,,,,,,,,,
FDIC – 16,AI Assisted Time Management,Division of Depositor and Consumer Protection,misimon@FDIC.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
